time21_5,latitude,longitude,halfAngle,speed,type,isMostAccurate,associatedCMEID,note,catalog,featureCode,dataLevel,measurementTechnique,imageType,tilt,minorHalfWidth,speedMeasuredAtHeight,submissionTime,versionId,link
2016-09-06T14:18Z,-20.0,120.0,31.0,674.0,C,True,2016-09-06T08:54:00-CME-001,,M2M_CATALOG,null,1,null,null,,,,2016-09-06T15:43Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/11233/-1
2016-09-15T04:24Z,-18.0,-122.0,43.0,722.0,C,True,2016-09-14T23:36:00-CME-001,Measured with swpc_cat using C3 and STA Cor2 imagery.,M2M_CATALOG,null,1,null,null,,,,2016-09-15T13:22Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/11256/-1
